Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],Rh Recovery [%],PPM Mass Total [mg/L],Rh Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M],Max Sales Rh [$Rh/L feed basis]
3,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,1.5558418153183285e-05,1.877872204987685e-05,0.0006524056638563887,0.027593663047955002,0.02757921470520658,0.003220328308657962,9.540979117872439e-18,8.673617379884035e-19,-1.0842021724855044e-19,2.2288396342452206,47.61510973032828,2000,95,1,0.1,4.486639525946164,11.07432918445984
4,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.1689852889715828e-05,2.7638817750689245e-05,0.0009372447420478516,0.042625607577300766,0.04258433543654059,0.003003472778205094,-3.1486965812455026e-14,-2.229119666630197e-16,-3.583288180064592e-17,1.4413996421474635,68.40377652914619,2000,95,1,0.1,6.937701181264024,15.909360348727477
5,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.367801790012997e-05,3.1829497880372505e-05,0.0010546427998291523,0.054991852296971025,0.0549188695208313,0.0028249717614116762,-2.177077962350893e-16,-1.8214596497756474e-17,-3.469446951953614e-18,1.1169046193631444,76.97194463845086,2000,95,1,0.1,8.953316000879258,17.90214614062481
6,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.4296444511631953e-05,3.444534443504055e-05,0.001116093989985516,0.06484719739859571,0.06474003572783085,0.0026827238062449446,-5.4452969910911975e-15,-9.194034422677078e-17,-1.0787811616230769e-17,0.9470643613827158,81.45689215570388,2000,95,1,0.1,10.558944468568093,18.94525589008004
7,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.4317862049216273e-05,3.63606291954918e-05,0.001152891333647462,0.07264736899916581,0.07250491423149642,0.0025701483629865106,-6.583275591331983e-16,-2.862293735361732e-17,-4.0115480381963664e-18,0.8453748052051471,84.142505805793,2000,95,1,0.1,11.829072665080549,19.569876305570162
8,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.403225116356388e-05,3.790748315453515e-05,0.001176854952043402,0.07882463041950895,0.07864655137775098,0.0024810038338640237,-4.022737004616417e-14,-5.360295540768334e-16,-2.7755575615628914e-17,0.7791614270656679,85.89146413444043,2000,95,1,0.1,12.834310904814846,19.97664928942003
9,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.3570469013550805e-05,3.923721345155437e-05,0.0011933459665587035,0.08372595228761563,0.08351239380988754,0.0024102803565585816,-5.5527631104279607e-14,-1.0182826803983858e-15,-3.361026734705064e-17,0.7336044281257678,87.09504268872375,2000,95,1,0.1,13.631324480344627,20.256577765590272
10,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.2999653587984825e-05,4.0427701404621596e-05,0.0012051197448594234,0.0876174093929213,0.08736882334365863,0.0023541361761941102,9.540979117872439e-18,0.0,-5.421010862427522e-20,0.7010871232847095,87.95433894684565,2000,95,1,0.1,14.263562498692517,20.456433014970397
11,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.2357832277847578e-05,4.152261540299049e-05,0.0012137285040089946,0.09070154975430005,0.09041859900763478,0.0023096468020789335,-4.9884575636927053e-14,-2.0339632755828063e-15,-3.1929753979698106e-17,0.6773186994153833,88.58263976374204,2000,95,1,0.1,14.76409850876897,20.6025633108488
12,0.006165743403682182,0.006165743403682182,0.0013701652008182629,0,0,0,2.1668455901214583e-05,4.254795439309557e-05,0.0012201117953019184,0.09313410622870219,0.0928176072504577,0.0022745636939313645,-1.439516908452454e-13,-7.258083023486961e-15,-5.908901840045999e-17,0.6597019284039073,89.04851725713566,2000,95,1,0.1,15.158361025553086,20.710917166393646
