Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],PGM Recovery [%],PPM Mass Total Feed [mg/L],PGM Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M],Ligand,q_max_Pt,q_max_Pd,q_max_Rh,K_eq_Pt,K_eq_Pd,K_eq_Rh
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.657087786647112e-05,7.087046056412775e-07,0.00032831206697012084,0.0862313973510686,0.08712840619412127,0.0008046657813792965,-9.974659986866641e-18,1.6805133673525319e-16,-4.336808689942018e-19,0.1768340789893494,95.8459802581624,500.0,95,1,0.1,56.550185672085824,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7363559332723543e-05,2.647801142775368e-07,0.00033493844949236955,0.11522320048858001,0.11651590561923103,0.0005747921517447448,-1.2969226387271604e-15,-4.315753483752349e-14,-8.088317613331314e-18,0.13227130344640725,97.78045721562458,500.0,95,1,0.1,75.60218837679882,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7659678477555356e-05,9.383564911431602e-08,0.0003373167680898167,0.13104492684730387,0.13255559135964773,0.0004493103653740922,-1.1275702593849246e-17,-1.5395670849294163e-17,-1.7957098481791167e-19,0.11627891358347167,98.47477308236147,500.0,95,1,0.1,86.00011551381951,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.776911111538419e-05,3.228995062481204e-08,0.00033822661999983187,0.13831280647875682,0.13992288922212515,0.0003916706406881296,-1.7791757650487128e-15,-8.201555753983847e-14,-2.1878861027578578e-18,0.1101609300394723,98.7403912456229,500.0,95,1,0.1,90.7762851713112,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.780767390738886e-05,1.0945648102249267e-08,0.0003385537703855498,0.14112746939834767,0.14277590782912009,0.00036934863833173765,-1.3598280487747694e-14,-1.440863487550681e-13,-3.7692966152816365e-18,0.10796113495992395,98.8358980897677,500.0,95,1,0.1,92.62592509528619,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.782065210263268e-05,3.6868124865740625e-09,0.0003386624393239812,0.14208795003509284,0.14374950872538023,0.00036173135541122504,-1.0169816377914032e-16,-2.4012909716208952e-15,-1.1519648082658485e-19,0.10723043005699726,98.86762242151003,500.0,95,1,0.1,93.25710989580662,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7824905661255413e-05,1.238963532920099e-09,0.00033869674735196117,0.14239389848647305,0.14405966585403046,0.00035930489362976417,-3.5605199344423966e-16,-4.9898670265169365e-14,-6.945670167485263e-20,0.1069997353436028,98.87763815624318,500.0,95,1,0.1,93.45817508695241,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7826285065616384e-05,4.1613997480816515e-10,0.00033870732290614225,0.1424884694473976,0.14415555070127467,0.0003585548223051931,-2.392400513806514e-15,-1.1651810159080123e-12,-2.56650983018053e-19,0.10692862178716796,98.88072553699837,500.0,95,1,0.1,93.52033003758454,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7826730924415098e-05,1.402141687394988e-10,0.0003387105516736891,0.14251736566261916,0.1441848534490356,0.00035832562431511203,-4.814941848008125e-15,-5.983765132694385e-12,-3.6253010142484055e-19,0.1069069101100128,98.88166812918942,500.0,95,1,0.1,93.53932304010543,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7826874208021598e-05,4.765079094053723e-11,0.00033871153391917054,0.14252615812820874,0.14419377124002558,0.00035825588030014867,-2.7881343067637232e-15,-8.464619196540957e-12,-2.676624113323589e-19,0.10690030494926808,98.88195488161338,500.0,95,1,0.1,93.54510265191219,ddFc,0.2836537593233665,0.5718210607953284,0.0033855207032991,1905.599127987048,2839.813932961137,2210.387680326495
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6330954132892406e-05,5.556144745584145e-07,0.0003208448035083908,0.0705404079634964,0.07127006196802052,0.0010035242372839403,-6.505213034913027e-19,1.5395670849294163e-17,-6.098637220230962e-20,0.21620301623104768,93.66602021910417,500.0,95,1,0.1,46.25282373171608,ddFc,0.2822882325782,0.5781982377965017,0.003317763533693,1598.6296937820784,2540.22220409406,2645.6932576522518
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7194606154739444e-05,1.95370271300881e-07,0.0003304095520942211,0.09727076003038555,0.09835558085806856,0.0007741978923875358,-6.7372322998249246e-15,-5.662564601244258e-13,-2.7145711893605817e-17,0.15670086717698092,96.45831083635767,500.0,95,1,0.1,63.81585616055214,ddFc,0.2822882325782,0.5781982377965017,0.003317763533693,1598.6296937820784,2540.22220409406,2645.6932576522518
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7521174297269713e-05,6.513561246821578e-08,0.00033413988815940253,0.1141502534940792,0.11545781458431846,0.0006293156233512744,-2.0771795741780785e-14,-2.6064142163995108e-12,-2.4675763819412277e-17,0.13350077025655405,97.54732873374806,500.0,95,1,0.1,74.90593485552614,ddFc,0.2822882325782,0.5781982377965017,0.003317763533693,1598.6296937820784,2540.22220409406,2645.6932576522518
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7653559793121104e-05,2.1050188617961155e-08,0.0003358175889223181,0.12381734517012903,0.12525010425731012,0.0005463458168857959,-1.1043444804459401e-13,-1.9467498576716813e-11,-3.3239266916153254e-17,0.12306694907277592,98.03710931259027,500.0,95,1,0.1,81.25658493481038,ddFc,0.2822882325782,0.5781982377965017,0.003317763533693,1598.6296937820784,2540.22220409406,2645.6932576522518
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7707957525005728e-05,6.667153284096616e-09,0.000336577868875903,0.12875981050234928,0.13025562534307328,0.0005039287468258332,-1.0668549377257364e-16,-1.763086204809028e-14,-3.8455295805345235e-19,0.11833878035785439,98.25906209700806,500.0,95,1,0.1,84.50315247258908,ddFc,0.2822882325782,0.5781982377965017,0.003317763533693,1598.6296937820784,2540.22220409406,2645.6932576522518
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.772972810462781e-05,2.0875616204313358e-09,0.000336904497610713,0.1310066827774559,0.13253088726923717,0.0004846464802044901,-7.338097143816391e-15,-2.568668151445297e-12,-2.4403019210396393e-18,0.11630751122914935,98.35441665268205,500.0,95,1,0.1,85.97896983882643,ddFc,0.2822882325782,0.5781982377965017,0.003317763533693,1598.6296937820784,2540.22220409406,2645.6932576522518
