Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],Pt Recovery [%],PPM Mass Total [mg/L],Pt Relative Purity [%],Pd Relative Purity Org [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M]
2,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0014891289861181625,5.8766022732719535e-05,1.960918706297343e-05,0.0038038564188974623,0.038996302487297525,1.3430493722209497e-05,-1.1896408337597197e-16,2.0424200525281933e-15,-4.2775163836342167e-19,0.3811195462718197,90.4944576829695,500,95,91.08393627788878,0.9268257754273154,0.1,24.31850542680617
3,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0015760705596500307,6.303488418349082e-05,1.9916197908087044e-05,0.0025966674335553513,0.05977321124161914,9.166660652781965e-06,-9.771372079525609e-18,1.6089560239684886e-16,-3.782531505082485e-20,0.2479821293538342,95.77790231416958,500,95,95.82258099626371,0.9268257754273154,0.1,37.3747002593429
4,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.001598334049255137,6.412976835948514e-05,1.999307635633529e-05,0.002040994328761888,0.06908926170397468,7.279195559506343e-06,-1.5111067779016718e-18,2.4069288229178198e-17,-1.7470054537119944e-21,0.21439714606775528,97.13085591102116,500,95,97.12068527852696,0.9268257754273154,0.1,43.22938958965495
5,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0016052833480270608,6.447154466075759e-05,2.001705260478738e-05,0.0018300161879292356,0.0726237238721887,6.563484926807543e-06,-1.0203426645261082e-15,-3.001830554960616e-14,-1.2102777327283867e-18,0.20391921638126875,97.55316521364344,500,95,97.53347812805383,0.9268257754273154,0.1,45.45063441664196
6,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.001607442963225199,6.457775784528603e-05,2.002450337871169e-05,0.0017599629888560132,0.07379727421531881,6.325852270525117e-06,-1.429791614965259e-18,1.5612511283791264e-17,-7.517417406881916e-21,0.2006630815120403,97.68440515859197,500,95,97.66251249983125,0.9268257754273154,0.1,46.18815620907842
7,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0016080887393964127,6.460951810866601e-05,2.0026731333255847e-05,0.0017385717043981311,0.07415562641742146,6.253289472020815e-06,-2.1758582349068467e-17,-3.757411048965764e-15,-5.598358385758891e-20,0.19968942080821542,97.72364901519765,500,95,97.70116651294305,0.9268257754273154,0.1,46.41336389660081
8,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.001608276933101599,6.461877376448385e-05,2.002738060928332e-05,0.0017322984931312068,0.07426071683119459,6.232009697328621e-06,8.206055192999662e-17,-2.2853463912952954e-14,-1.6887719385882613e-20,0.19940567418724495,97.73508555793433,500,95,97.71243720982189,0.9268257754273154,0.1,46.479408332032314
9,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0016083311300618898,6.46214391814387e-05,2.002756759103226e-05,0.0017304885897535694,0.07429103678798575,6.225870204442299e-06,2.106205021588231e-15,-3.1291635949060037e-13,2.2499312661442353e-21,0.19932395945342957,97.73837911045752,500,95,97.71568350838868,0.9268257754273154,0.1,46.49846300308221
10,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0016083466656258015,6.462220331506297e-05,2.0027621189360072e-05,0.001729969507584212,0.07429973258302776,6.224109391522249e-06,2.2632720350634905e-18,-4.395355607256235e-16,-1.7999450129153882e-21,0.19930053587503943,97.73932320760699,500,95,97.7166141010647,0.9268257754273154,0.1,46.503927917606354
11,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.001608351111434942,6.46224219689351e-05,2.002763652758448e-05,0.0017298209393806993,0.07430222143495116,6.223605423499689e-06,-1.0164395367051604e-19,8.673617379884035e-19,4.870439446712227e-21,0.19929383276364815,97.73959337969475,500,95,97.716880412204,0.9268257754273154,0.1,46.50549204532994
12,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0016083523829593185,6.462248450451499e-05,2.0027640914395886e-05,0.0017297784462686483,0.07430293329025509,6.223461279805769e-06,6.098637220230962e-20,-8.673617379884035e-19,2.752857078576476e-21,0.19929191563923002,97.73967065030727,500,95,97.71695657884672,0.9268257754273154,0.1,46.50593941327304
13,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0016083527465518919,6.462250238655657e-05,2.002764216880531e-05,0.0017297662952042649,0.07430313684794297,6.223420061377094e-06,2.6000523348918003e-17,-2.134577237189461e-15,1.852884572118782e-21,0.19929136743740003,97.73969274584974,500,95,97.7169783587367,0.9268257754273154,0.1,46.50606733974281
14,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.001608352850513671,6.462250749955725e-05,2.002764252747897e-05,0.0017297628208087622,0.0743031950518939,6.223408275649574e-06,3.7858306984120405e-16,-3.269455019216938e-14,-2.4113969217145863e-20,0.19929121069275438,97.73969906361329,500,95,97.71698458631526,0.9268257754273154,0.1,46.50610391725679
15,0.0016455471685736258,0.0016623309541682542,2.0161461698543504e-05,0,0,0,0.0016083528802259546,6.462250896074394e-05,2.0027642630005186e-05,0.0017297618273669083,0.07430321169431565,6.22340490572069e-06,5.425469643861869e-15,-3.749559256832624e-13,6.757734732313215e-20,0.19929116591934087,97.73970086923055,500,95,97.71698636698041,0.9268257754273154,0.1,46.50611436547215
