Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],Pt Recovery [%],PPM Mass Total [mg/L],Pt Relative Purity [%],Pd Relative Purity Org [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M]
2,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.0015141266400506338,7.450117669183893e-05,5.189699100301536e-06,0.003630554080198787,0.04268385717409857,3.3669823872218924e-06,-6.155557834286451e-17,1.052977149917922e-15,-5.86040920381569e-20,0.3450079143314132,91.77924272036839,500,95,92.15437095446025,0.9235755168575314,0.1,26.76969073730721
3,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.0015863123038116313,7.823363769567356e-05,5.256483558155245e-06,0.002479744489018901,0.06218313159780914,2.305999632678801e-06,-1.2197274440461925e-18,2.190088388420719e-17,-1.3234889800848443e-21,0.2362665897607502,96.15479848962026,500,95,96.16168947713942,0.9235755168575314,0.1,39.09039859561897
4,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.001604831932760193,7.919154756249613e-05,5.2732910083273846e-06,0.0019874974332539565,0.070346311624458,1.8665872118475697e-06,-9.519904938144752e-15,-1.227687656396581e-13,-3.060952078250427e-18,0.20872379922158876,97.2773713810822,500,95,97.24981621761431,0.9235755168575314,0.1,44.24869230542465
5,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.0016104359295183613,7.948141282807952e-05,5.2783729666176206e-06,0.0018118426495528606,0.07325735236144434,1.7099658126244645e-06,-4.49876138945704e-17,1.8756697583999227e-16,-3.563494078878443e-20,0.20039315951793268,97.61705933390422,500,95,97.58421372977224,0.9235755168575314,0.1,46.08817581794167
6,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.0016121182475922018,7.956843050755587e-05,5.279898518063291e-06,0.0017562245095230605,0.07417906061858379,1.6603766253521055e-06,-1.8905775382715984e-18,-1.5092094240998222e-16,-1.4823076576950256e-21,0.19789234996016025,97.7190335510851,500,95,97.6850729582758,0.9235755168575314,0.1,46.67060232714735
7,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.001612607315309795,7.959372721547616e-05,5.280342011355471e-06,0.0017397910188694085,0.07445139741278224,1.6457245418601816e-06,-4.30970363562988e-18,-1.711087868616623e-15,-5.201311691733438e-21,0.1971653387253036,97.74867853821655,500,95,97.71443500862381,0.9235755168575314,0.1,46.84269166317733
8,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.0016127466811347022,7.960093588006322e-05,5.280468390184764e-06,0.00173508588225176,0.07452937121499661,1.6415294473106767e-06,5.100954381109801e-15,-1.1881494052512487e-12,2.512643828691077e-20,0.19695816809618893,97.75712623970514,500,95,97.72280548897625,0.9235755168575314,0.1,46.8919631912134
9,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.0016127860458361022,7.960297197763034e-05,5.2805040866269605e-06,0.0017337550968089662,0.0745514250696655,1.6403429205258798e-06,3.769635428460538e-17,-4.920109458739219e-15,-5.426304818347862e-22,0.19689965139390067,97.759512342947,500,95,97.7251700514694,0.9235755168575314,0.1,46.90589903635252
10,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.001612797127205209,7.960354519040854e-05,5.2805141353686785e-06,0.0017333803299910747,0.07455763572758829,1.6400087788463168e-06,6.2406541522994075e-15,-6.461263815649154e-13,5.813425345022678e-20,0.19688317871462704,97.76018404347589,500,95,97.7258357118137,0.9235755168575314,0.1,46.909823525158075
11,0.0016497484563735745,0.0016689856850482733,5.315475016813259e-06,0,0,0,0.0016128002429909884,7.960370635449486e-05,5.28051696080181e-06,0.0017332749449945825,0.0745593821738988,1.6399148177072755e-06,2.014772897129813e-15,-2.006166500284623e-13,1.4690727678941772e-20,0.1968785469859547,97.76037290777016,500,95,97.72602287816389,0.9235755168575314,0.1,46.910927117082956
