Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],Pt Recovery [%],PPM Mass Total [mg/L],Pt Relative Purity [%],Pd Relative Purity Org [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M]
2,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0015141721372899078,7.453427179099913e-05,5.158998592681849e-06,0.0036302228667192847,0.042690948440775776,3.34671295149244e-06,-6.139294801699169e-17,1.0516761073109393e-15,-5.745265662548309e-20,0.3449439125127347,91.7815012769927,500,95,92.156271160626,0.9235686613196383,0.1,26.774458913970303
3,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.001586332127201826,7.826580146381306e-05,5.225363126337314e-06,0.002479529096469449,0.06218765556031525,2.292138840174041e-06,-1.2468324983583301e-18,2.211772431870429e-17,-1.2176098616780567e-21,0.2362449494684005,96.15547702462625,500,95,96.16229887996012,0.9235686613196383,0.1,39.09368913061874
4,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.00160484503927056,7.922346352044235e-05,5.242064866484966e-06,0.0019874028564241188,0.07034864291143747,1.8554389245804338e-06,-9.490563716851863e-15,-1.2238387386842575e-13,-3.03385364138319e-18,0.20871297970135405,97.27763666607792,500,95,97.25004698482724,0.9235686613196383,0.1,44.250657656326226
5,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0016104466458087756,7.951323526928857e-05,5.2471145401569975e-06,0.0018118123459682804,0.07325855148667605,1.6998030725375918e-06,-4.4364197645391235e-17,1.8930169931596907e-16,-3.495996140894116e-20,0.20038614386711093,97.61717788796346,500,95,97.58430491821727,0.9235686613196383,0.1,46.08944727895541
6,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.001612128131798977,7.960021894769874e-05,5.248630296846688e-06,0.0017562196235863046,0.07417981731398897,1.6505304178140891e-06,-1.9786689647860456e-18,-1.476683358925257e-16,-1.998468359928115e-21,0.19788664646584536,97.71910111370259,500,95,97.68511497700658,0.9235686613196383,0.1,46.67160103089844
7,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0016126169303622671,7.962550436409229e-05,5.24907091813183e-06,0.001739794694115033,0.07445200596629349,1.6359727915201225e-06,-4.1470733097570545e-18,-1.6575282812958392e-15,-4.9432313406168934e-21,0.19716005720777102,97.74872962479189,500,95,97.71446105615382,0.9235686613196383,0.1,46.84359876941829
8,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0016127562131543333,7.963270948265256e-05,5.249196472837861e-06,0.001735092235077151,0.0745299336016912,1.6318049420318e-06,5.030806500549989e-15,-1.170429855465449e-12,2.2717688343156352e-20,0.19695301623997874,97.7571722472937,500,95,97.72282660113669,0.9235686613196383,0.1,46.89284170161221
9,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0016127955528185986,7.963474449674536e-05,5.24923193507378e-06,0.0017337622615734732,0.07455197349352806,1.6306261695619325e-06,3.6544389476339534e-17,-4.82881963581594e-15,-3.044024654195142e-21,0.19689453851794128,97.75955681993051,500,95,97.72518967417247,0.9235686613196383,0.1,46.90676888609998
10,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.001612806626718315,7.963531738264745e-05,5.24924191750529e-06,0.001733387737763792,0.0745581799814371,1.6302942243238219e-06,6.1575432795148155e-15,-6.377869152945914e-13,6.069520462669096e-20,0.19687807743697006,97.76022806404863,500,95,97.72585488986473,0.9235686613196383,0.1,46.910690786043254
11,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0016128097402876265,7.963547844882546e-05,5.249244724189056e-06,0.0017332824250327157,0.07455992518998918,1.6302008843115272e-06,1.9906087412105422e-15,-1.9817480989559044e-13,1.2996661784433171e-20,0.19687344914293076,97.76041679296438,500,95,97.72604192422133,0.9235686613196383,0.1,46.91179360854924
12,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0016128106153525984,7.963552371608049e-05,5.249245513003822e-06,0.0017332528261697383,0.07456041569277985,1.630174650463221e-06,3.8806306258687417e-16,-3.791476681225259e-14,-3.40136667881805e-21,0.196872148363528,97.76046983500291,500,95,97.72609449005837,0.9235686613196383,0.1,46.9121035655207
13,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.001612810861255678,7.963553643668146e-05,5.249245734669672e-06,0.00173324450847825,0.07456055353087637,1.6301672783874705e-06,3.1848438816761693e-19,-1.1926223897340549e-17,9.661469554619363e-22,0.19687178283050272,97.76048474041112,500,95,97.7261092616742,0.9235686613196383,0.1,46.912190667506025
14,0.0016497574306615448,0.0016689996754795532,5.283995066457255e-06,0,0,0,0.0016128109303539914,7.963554001114738e-05,5.249245796957469e-06,0.0017332421712034957,0.07456059226343999,1.6301652068310321e-06,8.809142651444724e-19,-1.2663481374630692e-16,2.117582368135751e-22,0.19687168011725806,97.76048892880344,500,95,97.72611341249538,0.9235686613196383,0.1,46.91221514285624
