S1 Stages,S1 C_Pt_in [M],S1 C_Ir_in [M],S1 C_Rh_in [M],S1 q_Pt_in [mol PGM/mol ligand],S1 q_Ir_in [mol PGM/mol ligand],S1 q_Rh_in [mol PGM/mol ligand],S1 C_Pt_out [M],S1 C_Ir_out [M],S1 C_Rh_out [M],S1 q_Pt_out [mol PGM/mol ligand],S1 q_Ir_out [mol PGM/mol ligand],S1 q_Rh_out [mol PGM/mol ligand],S1 Material Residual Pt [mol PGM/time],S1 Material Residual Ir [mol PGM/time],S1 Material Residual Rh [mol PGM/time],S1 Q_org [L/time],S1 PGM Recovery [%],S1 PPM Mass Total Feed [mg/L],S1 PGM Relative Purity [%],S1 Q_aq [L/time],S1 C_lig [L/time],S1 Q_aq/(Q_org*C_lig) [1/M],S1 Ligand,S1 ier,S1 q_max_Pt,S1 q_max_Ir,S1 q_max_Rh,S1 K_eq_Pt,S1 K_eq_Ir,S1 K_eq_Rh,S2 Stages,S2 C_Pt_in [M],S2 C_Ir_in [M],S2 C_Rh_in [M],S2 q_Pt_in [mol PGM/mol ligand],S2 q_Ir_in [mol PGM/mol ligand],S2 q_Rh_in [mol PGM/mol ligand],S2 C_Pt_out [M],S2 C_Ir_out [M],S2 C_Rh_out [M],S2 q_Pt_out [mol PGM/mol ligand],S2 q_Ir_out [mol PGM/mol ligand],S2 q_Rh_out [mol PGM/mol ligand],S2 Material Residual Pt [mol PGM/time],S2 Material Residual Ir [mol PGM/time],S2 Material Residual Rh [mol PGM/time],S2 Q_org [L/time],S2 PGM Recovery [%],S2 PPM Mass Total Feed [mg/L],S2 PGM Relative Purity [%],S2 Q_aq [L/time],S2 C_lig [L/time],S2 Q_aq/(Q_org*C_lig) [1/M],S2 Ligand,S2 ier,S2 q_max_Pt,S2 q_max_Ir,S2 q_max_Rh,S2 K_eq_Pt,S2 K_eq_Ir,S2 K_eq_Rh
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,5,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0006922241788047389,1.4709390667946078e-05,5.67651917009394e-05,0.060124066986552586,0.1315768753405529,2.9390515381141933e-05,-1.7016553097159992e-16,2.6042536183101817e-16,-5.794234754811448e-20,0.0749949262293947,99.50422346328244,499.99999999999994,95,0.7793140761184594,0.1,103.9155733995512,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,6,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0007458098145323921,1.009795794009201e-05,5.6789484540542775e-05,0.0579478186831549,0.14026698595758277,2.8536577489979318e-05,-1.8559914889693108e-15,-1.1219757761748994e-14,-3.417513244375085e-19,0.07060489349309602,99.54680660390122,499.99999999999994,95,0.7793140761184594,0.1,110.37677950674386,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,7,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0007892296236341757,7.328781482984373e-06,5.6808100805696746e-05,0.05588353192991772,0.14778768074957757,2.7840979643654278e-05,-4.5705518363081676e-14,-5.890906252387085e-13,-2.5488280174065965e-18,0.06715793996829879,99.57943922527403,499.99999999999994,95,0.7793140761184594,0.1,116.04198647044959,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,8,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0008235382269100089,5.510021500332754e-06,5.682258749889752e-05,0.05407955628326496,0.1542071706232997,2.7257304079715407e-05,-2.408717756502421e-15,-2.3106083019142076e-14,-3.8293830149774884e-19,0.06445413659141634,99.60483308221876,499.99999999999994,95,0.7793140761184594,0.1,120.9098620091118,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,9,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0008512213615023286,4.281907246042349e-06,5.683423400128948e-05,0.05250928039159912,0.15976192763788977,2.675448560716171e-05,-5.837592778959455e-13,-9.73528159128878e-12,-1.928429323102025e-17,0.06227304058108242,99.62524834273053,499.99999999999994,95,0.7793140761184594,0.1,125.14469646038174,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,10,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0008731600246020558,3.3814008397617762e-06,5.6843456183823705e-05,0.0511848938828061,0.16444021356714553,2.633145703833377e-05,-9.912426782165973e-14,-1.7032948402412318e-12,-4.7073591345861724e-18,0.06054406327988393,99.64141399080127,499.99999999999994,95,0.7793140761184594,0.1,128.71849590204005,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,11,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0008909005512731201,2.7150402530373724e-06,5.685091350360098e-05,0.05005830279205797,0.16841845805754785,2.5971820343273033e-05,-4.9218387612043335e-14,-8.392180179950248e-13,-3.2383657760308004e-18,0.05914477453399148,99.65448599481148,499.99999999999994,95,0.7793140761184594,0.1,131.7638087656543,deFc,4,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,12,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0009051507864790137,2.1991839873502194e-06,5.685690386059456e-05,0.04911433699047631,0.17175155173650428,2.5670523519448068e-05,-1.6794291651800464e-16,-8.456776945386935e-17,-6.54862347345981e-20,0.058020389105793914,99.6649865463476,499.99999999999994,95,0.7793140761184594,0.1,134.31727848247695,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,13,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0009164950996343066,1.783933427315911e-06,5.686167245756574e-05,0.048336205159813024,0.1744990451362433,2.542216570028216e-05,-5.870954764009007e-17,7.567731163948821e-17,-1.4293680984916318e-20,0.05712540122816617,99.67334546357151,499.99999999999994,95,0.7793140761184594,0.1,136.42163719879693,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,2.9602666964642283e-05,2.1739668998497753e-05,0.0009755043832839265,0.04564775414967987,0.04601017607946488,0.0020491767506510584,4.336808689942018e-19,-2.168404344971009e-19,0.0,0.21695701390943878,95.64118114942934,500.00000000000006,95,1,0.1,46.09207980791142,ddFc,1,0.283184293825222,0.61167783535938,0.00376986289722275,1822.21079088769,950.348657314128,2401.50309384427,14,0.0012708099000744014,0.0012808995394214906,5.704802241071308e-05,0,0,0,0.0009253309680732763,1.4332897771739069e-06,5.6865385826213174e-05,0.04771251259885666,0.17670122227818125,2.522310199492717e-05,-3.7025504190379976e-17,-2.4936649967166602e-17,-4.155755397466411e-21,0.056428928187977595,99.67985466142011,499.99999999999994,95,0.7793140761184594,0.1,138.10541882390302,deFc,5,0.272571356225773,0.409453841140154,0.0031092147446044,349.540544019572,950.330400338052,369.020998529195
