S1 Stages,S1 C_Pt_in [M],S1 C_Pd_in [M],S1 C_Rh_in [M],S1 q_Pt_in [mol PGM/mol ligand],S1 q_Pd_in [mol PGM/mol ligand],S1 q_Rh_in [mol PGM/mol ligand],S1 C_Pt_out [M],S1 C_Pd_out [M],S1 C_Rh_out [M],S1 q_Pt_out [mol PGM/mol ligand],S1 q_Pd_out [mol PGM/mol ligand],S1 q_Rh_out [mol PGM/mol ligand],S1 Material Residual Pt [mol PGM/time],S1 Material Residual Pd [mol PGM/time],S1 Material Residual Rh [mol PGM/time],S1 Q_org [L/time],S1 PGM Recovery [%],S1 PPM Mass Total Feed [mg/L],S1 PGM Relative Purity [%],S1 Q_aq [L/time],S1 C_lig [L/time],S1 Q_aq/(Q_org*C_lig) [1/M],S1 Ligand,S1 q_max_Pt,S1 q_max_Pd,S1 q_max_Rh,S1 K_eq_Pt,S1 K_eq_Pd,S1 K_eq_Rh,S2 Stages,S2 C_Pt_in [M],S2 C_Pd_in [M],S2 C_Rh_in [M],S2 q_Pt_in [mol PGM/mol ligand],S2 q_Pd_in [mol PGM/mol ligand],S2 q_Rh_in [mol PGM/mol ligand],S2 C_Pt_out [M],S2 C_Pd_out [M],S2 C_Rh_out [M],S2 q_Pt_out [mol PGM/mol ligand],S2 q_Pd_out [mol PGM/mol ligand],S2 q_Rh_out [mol PGM/mol ligand],S2 Material Residual Pt [mol PGM/time],S2 Material Residual Pd [mol PGM/time],S2 Material Residual Rh [mol PGM/time],S2 Q_org [L/time],S2 PGM Recovery [%],S2 PPM Mass Total Feed [mg/L],S2 PGM Relative Purity [%],S2 Q_aq [L/time],S2 C_lig [L/time],S2 Q_aq/(Q_org*C_lig) [1/M],S2 Ligand,S2 q_max_Pt,S2 q_max_Pd,S2 q_max_Rh,S2 K_eq_Pt,S2 K_eq_Pd,S2 K_eq_Rh
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,4,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.0015924932582278143,4.8205803669481547e-05,3.560963097580555e-05,0.0020710207871234335,0.06960122701341537,1.4786003005306335e-05,-1.7300071965264952e-15,-2.179831835869006e-14,-3.6621469474539675e-18,0.21494074622091527,99.0495966457607,500.00000000000006,95,0.9301367852540845,0.1,43.27410235647425,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,5,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.001600767364254022,4.85839703057242e-05,3.566694372694314e-05,0.0018174230119756914,0.07382814922034936,1.3056255960110192e-05,-7.417569163059579e-16,-3.309310291077505e-14,-1.0174453883300249e-18,0.20258698563111222,99.20901432932764,500.00000000000006,95,0.9301367852540845,0.1,45.912958443824095,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,6,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.0016033350353710414,4.8701325782300564e-05,3.568472871099513e-05,0.001732314755193948,0.07524667690230534,1.2475777672945566e-05,-4.2012834183813297e-19,7.806255641895632e-18,1.0482032722271967e-20,0.19875337030369475,99.25848396572736,500.00000000000006,95,0.9301367852540845,0.1,46.79854152072175,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,7,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.0016040939877457199,4.8736013771434706e-05,3.568998558881639e-05,0.0017065261939109306,0.07567650290780649,1.2299887981492777e-05,-2.0328790734103208e-20,1.3010426069826053e-18,-2.1705219273391446e-21,0.19762023109020688,99.2731061792562,500.00000000000006,95,0.9301367852540845,0.1,47.06688076027544,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,8,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.00160431113961041,4.874593870421257e-05,3.5691489689422185e-05,0.0016990930533505651,0.07580039337552388,1.2249190595360775e-05,5.149960319306146e-19,2.168404344971009e-19,-6.03510974918689e-21,0.19729601670006378,99.27728989456682,500.00000000000006,95,0.9301367852540845,0.1,47.1442252515473,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,9,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.0016043723598723025,4.874873670904096e-05,3.569191373106074e-05,0.0016969930581099838,0.07583539464983327,1.2234867676523907e-05,1.0381235801548705e-17,-2.2280354644577116e-15,-8.205631676526035e-21,0.19720461297911585,99.27846938315204,500.00000000000006,95,0.9301367852540845,0.1,47.1660764524097,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,10,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.0016043895218466353,4.874952117519144e-05,3.569203260338841e-05,0.0016964040124283605,0.07584521245774034,1.2230850118039047e-05,8.07833617708087e-15,-1.2475220509400309e-12,1.4161332086907834e-19,0.1971789897248466,99.27880003123194,500.00000000000006,95,0.9301367852540845,0.1,47.17220564686145,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,11,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.0016043943233707606,4.874974063207646e-05,3.569206586105201e-05,0.0016962391853222495,0.07584795968223064,1.2229725922609753e-05,-7.453889935837843e-20,-3.2526065174565133e-18,-5.823351512373315e-22,0.19717182079536943,99.27889253873833,500.00000000000006,95,0.9301367852540845,0.1,47.173920771336135,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,12,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.001604395665806467,4.8749801988285396e-05,3.5692075159421855e-05,0.0016961930995657826,0.07584872780787799,1.222941159687393e-05,2.066760391300493e-18,-2.914335439641036e-16,9.211483301390516e-21,0.1971698164977277,99.27891840252173,500.00000000000006,95,0.9301367852540845,0.1,47.174400310140975,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.568461583631194e-05,5.838926412045848e-07,0.0003091016610727541,0.0685873600488526,0.06926618548671432,0.0015032179009903837,-3.1923248766663193e-15,-1.7006513385042776e-13,-6.329030181884132e-17,0.22245370488099867,90.2377788862711,500.0,95,1,0.1,44.953173539408965,ddFc,0.2888629073316411,0.5620136555048331,0.0043275315288795,1713.773990383182,2776.390325049473,3332.2513533953847,13,0.0016403514615010498,0.0016565864105981924,3.595131346486875e-05,0,0,0,0.001604396041052588,4.874981913894151e-05,3.569207775856172e-05,0.0016961802172041774,0.0758489425222097,1.2229323733331506e-05,1.0032258227279933e-16,-1.0359334917664498e-14,-1.4664257899340075e-20,0.19716925624457385,99.27892563213204,500.00000000000006,95,0.9301367852540845,0.1,47.17453435541283,coeFc,0.0194819979732724,0.1057242618687167,0.0019127144548125,280.64930141850283,2289.94423380197,940.3726396877277
