S1 Stages,S1 C_Pt_in [M],S1 C_Pd_in [M],S1 C_Rh_in [M],S1 q_Pt_in [mol PGM/mol ligand],S1 q_Pd_in [mol PGM/mol ligand],S1 q_Rh_in [mol PGM/mol ligand],S1 C_Pt_out [M],S1 C_Pd_out [M],S1 C_Rh_out [M],S1 q_Pt_out [mol PGM/mol ligand],S1 q_Pd_out [mol PGM/mol ligand],S1 q_Rh_out [mol PGM/mol ligand],S1 Material Residual Pt [mol PGM/time],S1 Material Residual Pd [mol PGM/time],S1 Material Residual Rh [mol PGM/time],S1 Q_org [L/time],S1 PGM Recovery [%],S1 PPM Mass Total Feed [mg/L],S1 PGM Relative Purity [%],S1 Q_aq [L/time],S1 C_lig [L/time],S1 Q_aq/(Q_org*C_lig) [1/M],S1 Ligand,S1 q_max_Pt,S1 q_max_Pd,S1 q_max_Rh,S1 K_eq_Pt,S1 K_eq_Pd,S1 K_eq_Rh,S2 Stages,S2 C_Pt_in [M],S2 C_Pd_in [M],S2 C_Rh_in [M],S2 q_Pt_in [mol PGM/mol ligand],S2 q_Pd_in [mol PGM/mol ligand],S2 q_Rh_in [mol PGM/mol ligand],S2 C_Pt_out [M],S2 C_Pd_out [M],S2 C_Rh_out [M],S2 q_Pt_out [mol PGM/mol ligand],S2 q_Pd_out [mol PGM/mol ligand],S2 q_Rh_out [mol PGM/mol ligand],S2 Material Residual Pt [mol PGM/time],S2 Material Residual Pd [mol PGM/time],S2 Material Residual Rh [mol PGM/time],S2 Q_org [L/time],S2 PGM Recovery [%],S2 PPM Mass Total Feed [mg/L],S2 PGM Relative Purity [%],S2 Q_aq [L/time],S2 C_lig [L/time],S2 Q_aq/(Q_org*C_lig) [1/M],S2 Ligand,S2 q_max_Pt,S2 q_max_Pd,S2 q_max_Rh,S2 K_eq_Pt,S2 K_eq_Pd,S2 K_eq_Rh
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,4,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.001602560976448487,7.814847504829634e-05,6.196839586590953e-06,0.002065428719637474,0.06901517535403354,1.3938519693184489e-06,-2.4780253803785568e-15,-1.3406593543652257e-14,-7.476819382417813e-19,0.21275875097426097,99.48470615970956,500.0,95,0.9239217726524304,0.1,43.42579416459368,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,5,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016087489796247413,7.847014754260795e-05,6.200851385010839e-06,0.0018776564872114026,0.07210990072606233,1.2745844150296673e-06,-2.1311348952918197e-17,2.1315414711065017e-16,-1.3310990417203321e-20,0.2035866137164166,99.54911198809955,500.0,95,0.9239217726524304,0.1,45.38224570793222,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,6,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.001610667835712604,7.856989597863184e-05,6.202095374665462e-06,0.0018159437192437416,0.07312697780106761,1.2353880802741257e-06,-1.429791614965259e-18,-3.621235256101585e-17,-4.996170899820287e-22,0.2007424530337403,99.56908312718208,500.0,95,0.9239217726524304,0.1,46.02523077154685,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,7,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016112442119152073,7.859985790553844e-05,6.202469037366981e-06,0.0017970637617027174,0.07343813461274772,1.223396663125123e-06,-2.744386749103933e-18,-3.8012128167341785e-16,-2.33595804984975e-21,0.19988813930765761,99.57508194699079,500.0,95,0.9239217726524304,0.1,46.22194072407553,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,8,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016114136853213087,7.860866768947454e-05,6.20257890638255e-06,0.001791481697168718,0.07353013149843556,1.219851270765489e-06,3.049318610115481e-19,-6.938893903907228e-18,4.764560328305439e-22,0.19963694321373693,99.57684579557477,500.0,95,0.9239217726524304,0.1,46.280100154772136,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,9,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016114630245491208,7.861123244680475e-05,6.20261089283095e-06,0.0017898539352253987,0.07355695831636913,1.2188174140821803e-06,-4.743384504624082e-19,-7.32920668600201e-17,-2.3161057151484775e-23,0.19956381185536837,99.57735930933863,500.0,95,0.9239217726524304,0.1,46.29705977564871,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,10,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016114773324782407,7.861197627596744e-05,6.202620168611828e-06,0.001789381675801956,0.07356474152916626,1.2185174632422328e-06,8.43814222054734e-16,-7.668692070250671e-14,2.6833739071220218e-21,0.19954260442344793,99.57750822368799,500.0,95,0.9239217726524304,0.1,46.301980237352346,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,11,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016114814756992084,7.861219165579438e-05,6.202622854646927e-06,0.0017892449025687742,0.07356699566136254,1.2184305930947448e-06,8.856576496490964e-18,-7.051650929845721e-16,5.624828165360588e-23,0.19953646327134522,99.57755134557436,500.0,95,0.9239217726524304,0.1,46.30340527766143,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,12,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016114826748712579,7.861225399273548e-05,6.202623632065965e-06,0.0017892053147057821,0.07356764810098805,1.2184054492603595e-06,8.707498697774207e-18,-8.36136715420821e-16,-2.3525016621008107e-21,0.19953468584006928,99.57756382634032,500.0,95,0.9239217726524304,0.1,46.303817742894616,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.6851069322677598e-05,8.745227704030126e-07,0.0003367862497685025,0.10674346302595593,0.10786205737117502,0.00040293857111127924,-5.193545246640063e-15,-9.253470385772733e-14,-2.5407600285839993e-17,0.14282699271545468,98.31989589791762,500.0,95,1,0.1,70.01477668806187,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,13,0.0016501232319985537,0.0016674153308672162,6.228936914828643e-06,0,0,0,0.0016114830218890534,7.861227203186104e-05,6.202623857036379e-06,0.0017891938585934623,0.07356783690687609,1.2183981730254515e-06,1.6940658945086007e-18,-1.489693784995083e-16,-9.065899513581183e-22,0.19953417148489144,99.5775674380387,500.0,95,0.9239217726524304,0.1,46.30393710394557,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,4,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016035674662682406,8.124351550695105e-05,3.1547722172762066e-06,0.002054801453850249,0.06923786538310332,7.058699152975394e-07,-1.5496366126063754e-15,-6.524078152714274e-15,-2.705310736966928e-19,0.2117470827907478,99.4894229874747,500.0,95,0.9231871585241023,0.1,43.59857743289017,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,5,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016095118400433661,8.15544163131317e-05,3.1567332071236453e-06,0.0018734219015277118,0.07222309884032034,6.472480504116619e-07,-1.4169167141669936e-17,1.6479873021779667e-16,-4.145829230115775e-21,0.20295509404204787,99.55126509047585,500.0,95,0.9231871585241023,0.1,45.48726223806129,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,6,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.00161134359380735,8.165022010390486e-05,3.15733746490275e-06,0.0018143192958396028,0.0731958121097201,6.281469827285212e-07,-5.353248226647178e-19,-2.168404344971009e-19,-6.617444900424222e-24,0.20024590132126943,99.5703210646123,500.0,95,0.9231871585241023,0.1,46.102674383480355,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,7,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016118909518009975,8.167884785747516e-05,3.1575180267414852e-06,0.0017963468659833637,0.07349160278067542,6.223385778402835e-07,6.76000054544712e-16,-1.8115023370235406e-13,-4.307956630176168e-21,0.19943635093469453,99.57601529288365,500.0,95,0.9231871585241023,0.1,46.28981397811475,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,8,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016120512169006083,8.168722999469562e-05,3.1575708948101554e-06,0.0017910569331389778,0.0735786646139279,6.206289554453924e-07,7.31072781522471e-15,-9.394564119691307e-13,3.547612211117425e-20,0.19919931660344592,99.57768254911777,500.0,95,0.9231871585241023,0.1,46.34489586939337,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,9,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016120977040389943,8.168966130166388e-05,3.1575862299315003e-06,0.0017895201589815145,0.07360395687712094,6.201322944208685e-07,6.254491282525754e-18,-9.044414522874078e-16,-2.5808035111654463e-22,0.19913056138080082,99.57816616006302,500.0,95,0.9231871585241023,0.1,46.360897700613386,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,10,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016121111384709039,8.169036399332918e-05,3.1575906616665048e-06,0.0017890758448929555,0.07361126940830945,6.199886991555453e-07,2.1760615228141877e-16,-2.0056655988809347e-14,-3.3087224502121107e-23,0.1991106916594914,99.57830591999752,500.0,95,0.9231871585241023,0.1,46.36552416295596,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,11,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016121150156991027,8.169056678028972e-05,3.1575919406820043e-06,0.0017889475976874448,0.0736133801036767,6.199472516932085e-07,-3.3881317890172014e-20,-1.496198998029996e-17,-5.293955920339377e-23,0.1991049571813645,99.5783462552437,500.0,95,0.9231871585241023,0.1,46.366859549517486,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,12,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016121161322694105,8.169062517863342e-05,3.1575923092273496e-06,0.0017889105972476837,0.07361398906415793,6.199352935583102e-07,6.557411880744705e-13,-4.9108417636209434e-11,3.915689385730046e-18,0.19910330946339588,99.5783578777512,500.0,95,0.9231871585241023,0.1,46.36724326743676,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7533136880184497e-05,3.41279352366429e-07,0.0003396139084159712,0.1351067700287454,0.1366309725391367,0.0002595378599446372,-6.585443995676954e-16,-7.731012011125138e-15,-2.6122496093322622e-18,0.1127924761813781,99.1453901217616,500.0,95,1,0.1,88.658395830581,ddFc,0.2781142328779716,0.5788422245282681,0.0033384856993438,2096.3830977303887,2823.043148537657,1122.0904161403746,13,0.0016506974777219388,0.001669319766145421,3.1709624224812113e-06,0,0,0,0.0016121164567209645,8.169064214821355e-05,3.1575924160477317e-06,0.0017888999301120556,0.07361416461778157,6.199318462866077e-07,9.479674261281962e-15,-7.067280788364272e-13,3.023345138881316e-20,0.19910282594252024,99.5783612464566,500.0,95,0.9231871585241023,0.1,46.36735587020853,coeFc,0.0182349416692858,0.1047456053750734,0.0018452482141569,298.9927761202446,2118.0393556733875,533.0213969140007
