S1 Stages,S1 C_Pt_in [M],S1 C_Pd_in [M],S1 C_Rh_in [M],S1 q_Pt_in [mol PGM/mol ligand],S1 q_Pd_in [mol PGM/mol ligand],S1 q_Rh_in [mol PGM/mol ligand],S1 C_Pt_out [M],S1 C_Pd_out [M],S1 C_Rh_out [M],S1 q_Pt_out [mol PGM/mol ligand],S1 q_Pd_out [mol PGM/mol ligand],S1 q_Rh_out [mol PGM/mol ligand],S1 Material Residual Pt [mol PGM/time],S1 Material Residual Pd [mol PGM/time],S1 Material Residual Rh [mol PGM/time],S1 Q_org [L/time],S1 PGM Recovery [%],S1 PPM Mass Total Feed [mg/L],S1 PGM Relative Purity [%],S1 Q_aq [L/time],S1 C_lig [L/time],S1 Q_aq/(Q_org*C_lig) [1/M],S1 Ligand,S1 q_max_Pt,S1 q_max_Pd,S1 q_max_Rh,S1 K_eq_Pt,S1 K_eq_Pd,S1 K_eq_Rh,S2 Stages,S2 C_Pt_in [M],S2 C_Pd_in [M],S2 C_Rh_in [M],S2 q_Pt_in [mol PGM/mol ligand],S2 q_Pd_in [mol PGM/mol ligand],S2 q_Rh_in [mol PGM/mol ligand],S2 C_Pt_out [M],S2 C_Pd_out [M],S2 C_Rh_out [M],S2 q_Pt_out [mol PGM/mol ligand],S2 q_Pd_out [mol PGM/mol ligand],S2 q_Rh_out [mol PGM/mol ligand],S2 Material Residual Pt [mol PGM/time],S2 Material Residual Pd [mol PGM/time],S2 Material Residual Rh [mol PGM/time],S2 Q_org [L/time],S2 PGM Recovery [%],S2 PPM Mass Total Feed [mg/L],S2 PGM Relative Purity [%],S2 Q_aq [L/time],S2 C_lig [L/time],S2 Q_aq/(Q_org*C_lig) [1/M],S2 Ligand,S2 q_max_Pt,S2 q_max_Pd,S2 q_max_Rh,S2 K_eq_Pt,S2 K_eq_Pd,S2 K_eq_Rh
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,4,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0015893624239378317,6.101855543099678e-05,2.2632098479067728e-05,0.002295040024549172,0.06630771105152738,1.181182754739108e-05,-5.963111948670274e-19,5.637851296924623e-18,-2.0117032497289633e-21,0.2238036718706037,98.75621756337063,500.0,95,0.927426516617411,0.1,41.43928957312282,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,5,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0015982933791998115,6.144398281412044e-05,2.2676721354577604e-05,0.002043288988322546,0.0703654452888663,1.0575170672402255e-05,-4.157034417216765e-16,-6.688009521194083e-15,-9.937549355865062e-19,0.21084160868262392,98.95093156243847,500.0,95,0.927426516617411,0.1,43.986882969264826,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,6,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0016012765851719302,6.158608905083093e-05,2.2691625958221193e-05,0.0019521542342815885,0.07183430045831796,1.0127530857982242e-05,-6.776263578034403e-19,9.540979117872439e-18,-6.1145190879919806e-21,0.20651200964911715,99.01596849577824,500.0,95,0.927426516617411,0.1,44.90908389266047,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,7,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0016022373003763731,6.16318531287293e-05,2.269642584247185e-05,0.0019219860710311615,0.07232053188756382,9.979350047341455e-06,-2.913793338554793e-19,4.336808689942018e-19,2.117582368135751e-22,0.20511770217972075,99.03691301463385,500.0,95,0.927426516617411,0.1,45.21435774494076,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,8,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0016025376718427583,6.164616135971308e-05,2.2697926545357582e-05,0.0019124695315713147,0.07247391345451668,9.93260645705926e-06,-2.710505431213761e-19,2.168404344971009e-19,-2.0381730293306602e-21,0.204681766387208,99.04346140168768,500.0,95,0.927426516617411,0.1,45.3106562928007,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,9,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0016026301558290594,6.165056674675808e-05,2.2698388609832724e-05,0.0019095312337807024,0.07252127108056529,9.91817404838896e-06,-2.574980159653073e-19,-4.4885969940899884e-17,-1.1699642583950023e-20,0.20454754232944317,99.04547764158154,500.0,95,0.927426516617411,0.1,45.340389136707536,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,10,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0016026584449814407,6.165191451576663e-05,2.2698529946869657e-05,0.0019086316922911953,0.07253576932156117,9.913755656748964e-06,2.803882343319075e-16,-4.338825305982841e-14,-6.590975120822525e-20,0.20450648563802876,99.04609437233597,500.0,95,0.927426516617411,0.1,45.34949166643703,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,11,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0016026670759738792,6.165232566648128e-05,2.2698573068657874e-05,0.0019083571711778894,0.07254019387929027,9.912407256700125e-06,1.3552527156068805e-18,-1.489693784995083e-16,-6.45862622281404e-21,0.20449395928186354,99.0462825362706,500.0,95,0.927426516617411,0.1,45.352269566999574,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,12,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.001602669706789878,6.165245098683162e-05,2.2698586212626495e-05,0.0019082734875908122,0.07254154263843737,9.911996217447813e-06,-5.082197683525802e-19,-2.8189256484623115e-18,-1.5352472168984194e-21,0.20449014111997096,99.04633989059089,500.0,95,0.927426516617411,0.1,45.353116367272946,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.605515598686739e-05,8.54703941455511e-07,0.0003212873389107209,0.07661673264709276,0.0773802200665586,0.00106754272920241,0.0,4.336808689942018e-18,-2.371692252312041e-20,0.19909237084799636,93.79521205730464,500.0,95,1,0.1,50.22794172075449,ddFc,0.2761811131342911,0.5793711870165981,0.0032900594714754,2113.104590123486,2808.946666651968,3467.4546967402694,13,0.0016447456133744983,0.001661135539447399,2.291713781417863e-05,0,0,0,0.0016026705084189478,6.165248917277912e-05,2.269859021769083e-05,0.0019082479879622954,0.0725419536253275,9.911870967699256e-06,-6.776263578034403e-20,1.3010426069826053e-18,5.796881732771618e-21,0.20448897769784644,99.04635736687595,500.0,95,0.927426516617411,0.1,45.3533743998554,coeFc,0.0192594203975594,0.1051436823460253,0.0018194170342237,293.0878954718788,2020.7362613836729,1156.5599902614515
