S1 Stages,S1 C_Pt_in [M],S1 C_Ir_in [M],S1 C_Rh_in [M],S1 q_Pt_in [mol PGM/mol ligand],S1 q_Ir_in [mol PGM/mol ligand],S1 q_Rh_in [mol PGM/mol ligand],S1 C_Pt_out [M],S1 C_Ir_out [M],S1 C_Rh_out [M],S1 q_Pt_out [mol PGM/mol ligand],S1 q_Ir_out [mol PGM/mol ligand],S1 q_Rh_out [mol PGM/mol ligand],S1 Material Residual Pt [mol PGM/time],S1 Material Residual Ir [mol PGM/time],S1 Material Residual Rh [mol PGM/time],S1 Q_org [L/time],S1 PGM Recovery [%],S1 PPM Mass Total Feed [mg/L],S1 PGM Relative Purity [%],S1 Q_aq [L/time],S1 C_lig [L/time],S1 Q_aq/(Q_org*C_lig) [1/M],S1 Ligand,S1 q_max_Pt,S1 q_max_Ir,S1 q_max_Rh,S1 K_eq_Pt,S1 K_eq_Ir,S1 K_eq_Rh,S2 Stages,S2 C_Pt_in [M],S2 C_Ir_in [M],S2 C_Rh_in [M],S2 q_Pt_in [mol PGM/mol ligand],S2 q_Ir_in [mol PGM/mol ligand],S2 q_Rh_in [mol PGM/mol ligand],S2 C_Pt_out [M],S2 C_Ir_out [M],S2 C_Rh_out [M],S2 q_Pt_out [mol PGM/mol ligand],S2 q_Ir_out [mol PGM/mol ligand],S2 q_Rh_out [mol PGM/mol ligand],S2 Material Residual Pt [mol PGM/time],S2 Material Residual Ir [mol PGM/time],S2 Material Residual Rh [mol PGM/time],S2 Q_org [L/time],S2 PGM Recovery [%],S2 PPM Mass Total Feed [mg/L],S2 PGM Relative Purity [%],S2 Q_aq [L/time],S2 C_lig [L/time],S2 Q_aq/(Q_org*C_lig) [1/M],S2 Ligand,S2 q_max_Pt,S2 q_max_Ir,S2 q_max_Rh,S2 K_eq_Pt,S2 K_eq_Ir,S2 K_eq_Rh
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,4,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0005726169351517801,3.088125049458027e-05,6.238553263956392e-05,0.0706000793799922,0.12731002960169824,1.6789130421167275e-05,-6.10405823109339e-17,2.0079424234431542e-16,-1.3023131564034868e-20,0.07669700278219589,99.73617133547128,500.0,95,0.7802852932767461,0.1,101.73608680545182,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,5,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0006286798016565393,2.032591657464261e-05,6.240069471186037e-05,0.06882364889411713,0.1361529929063878,1.6169243080151128e-05,-5.526178473158616e-16,-1.3140530330524314e-16,-8.098429069139162e-20,0.07232055059979345,99.76041104260173,500.0,95,0.7802852932767461,0.1,107.89260961171037,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,6,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0006769526266146457,1.4104380387257823e-05,6.241102000480589e-05,0.06663723052347237,0.14332368965229705,1.577037459640273e-05,-1.688638270012921e-12,-1.4808409706801307e-11,-2.3239354759546594e-17,0.06904096117518549,99.77691815799741,500.0,95,0.7802852932767461,0.1,113.01773324053809,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,7,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0007176608142126095,1.0279236574913789e-05,6.241906587614223e-05,0.0645238244807962,0.1495198839504048,1.5456898942284684e-05,-1.4236530032109285e-11,-1.4807279816349272e-10,-1.4444292707360993e-16,0.06637949012399563,99.78978114670957,500.0,95,0.7802852932767461,0.1,117.54915438777668,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,8,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0007512815214087275,7.778836140224864e-06,6.24255625938936e-05,0.06262990813207191,0.15490431511113575,1.5192477084566093e-05,-1.6898375060359072e-15,-8.666461645545631e-15,-1.5185712557493503e-19,0.06419809822028362,99.80016749314848,500.0,95,0.7802852932767461,0.1,121.54336575506409,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,9,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0007789048570283105,6.0608902524637595e-06,6.243087066849245e-05,0.060975384780656304,0.15956955040409224,1.4965263069897336e-05,-3.228754069661832e-16,-1.6978606021123e-16,-6.232309607219532e-20,0.06240518501215734,99.80865354777126,500.0,95,0.7802852932767461,0.1,125.03533049773611,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,10,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.000801039126348253,4.784285624426575e-06,6.24351182649916e-05,0.05958020682914531,0.16349516607526215,1.4774483158663045e-05,-1.1219215660662751e-14,-1.1909505499840822e-13,-5.440730848230786e-19,0.0609677259206593,99.81544420891142,500.0,95,0.7802852932767461,0.1,127.98333569012806,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,11,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0008192938267367182,3.84299441828719e-06,6.24386219168139e-05,0.0583813221231522,0.1668666105744143,1.4610727261763343e-05,-5.1137642297777175e-14,-6.967026781878882e-13,-1.5652507120769428e-18,0.0597799236343047,99.82104552068459,500.0,95,0.7802852932767461,0.1,130.5263114837737,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,12,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.000834197677208703,3.117898439223818e-06,6.244148295577933e-05,0.05736752603646899,0.16971716527379602,1.4472291161246407e-05,-2.4289381270192756e-15,-2.5043552301373673e-14,-1.7700341619654707e-19,0.05880920195504209,99.82561948295402,500.0,95,0.7802852932767461,0.1,132.68081649420293,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
3,0.0010199627101633165,0.0010199627101633165,0.0010199627101633165,0,0,0,3.1676688520149274e-05,1.9436755107912072e-05,0.0009711554289331665,0.0389786935518741,0.03946144510671173,0.0019249933890668196,3.881443777498106e-17,-1.5178830414797062e-18,-3.6591823321385775e-19,0.25354518881652244,95.21479748780864,500.00000000000006,95,1,0.1,39.44070107059489,ddFc,0.2822882325782,0.5768268080532252,0.003317763533693,1598.6296937820784,944.6458433195832,2645.6932576522518,13,0.0012665700996271501,0.0012822565844523058,6.25505589438808e-05,0,0,0,0.0008461261964955094,2.529334264737164e-06,6.244377259548954e-05,0.056531480880976114,0.17206784622044766,1.4358135207380355e-05,-2.3772878197242386e-13,-4.747579716510297e-12,-3.1312690477623348e-18,0.05803247843267116,99.82927994538454,500.0,95,0.7802852932767461,0.1,134.45665502327753,deFc,0.2824502832652774,0.3993411324403301,0.0036055322198377,419.43674816964017,1011.1164368146772,174.41175273625356
